;GHI
1829;0
1830;0
1831;126
1832;288
1833;507
1834;833
1835;817
1836;413
1837;457
1838;82
1839;87
1840;105
1841;132
1842;11
1843;0
1844;0
1845;0
1846;0
1847;0
1848;0
1849;0
1850;0
1851;0
1852;0
1853;0
1854;0
1855;28
1856;191
1857;663
1858;851
1859;1019
1860;995
1861;975
1862;760
1863;667
1864;496
1865;249
1866;18
1867;0
1868;0
1869;0
1870;0
1871;0
1872;0
1873;0
1874;0
1875;0
1876;0
1877;0
1878;0
1879;144
1880;425
1881;534
1882;697
1883;878
1884;635
1885;891
1886;826
1887;0
1888;364
1889;22
1890;10
1891;0
1892;0
1893;0
1894;0
1895;0
1896;0
1897;0
1898;0
1899;0
1900;0
1901;0
1902;0
1903;137
1904;409
1905;651
1906;848
1907;956
1908;869
1909;383
1910;178
1911;431
1912;507
1913;239
1914;11
1915;0
1916;0
1917;0
1918;0
1919;0
1920;0
1921;0
1922;0
1923;0
1924;0
1925;0
1926;0
1927;116
1928;332
1929;654
1930;856
1931;860
1932;867
1933;91
1934;180
1935;266
1936;221
1937;110
1938;0
1939;0
1940;0
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;58
1952;257
1953;585
1954;832
1955;895
1956;898
1957;354
1958;119
1959;462
1960;479
1961;26
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;0
1971;0
1972;0
1973;0
1974;0
1975;15
1976;73
1977;440
1978;0
1979;904
1980;752
1981;838
1982;502
1983;441
1984;494
1985;238
1986;0
1987;0
1988;0
1989;0
1990;0
1991;0
1992;0
1993;0
1994;0
1995;0
1996;0
1997;0
1998;0
1999;160
2000;400
2001;616
2002;820
2003;818
2004;839
2005;771
2006;323
2007;639
2008;483
2009;229
2010;0
2011;0
2012;0
2013;0
2014;0
2015;0
2016;0
2017;0
2018;0
2019;0
2020;0
2021;0
2022;0
2023;127
2024;281
2025;421
2026;700
2027;822
2028;798
2029;839
2030;795
2031;544
2032;405
2033;151
2034;0
2035;0
2036;0
2037;0
2038;0
2039;0
2040;0
2041;0
2042;0
2043;0
2044;0
2045;0
2046;0
2047;116
2048;319
2049;575
2050;740
2051;731
2052;818
2053;896
2054;673
2055;469
2056;304
2057;199
2058;0
2059;0
2060;0
2061;0
2062;0
2063;0
2064;0
2065;0
2066;0
2067;0
2068;0
2069;0
2070;0
2071;72
2072;173
2073;363
2074;634
2075;661
2076;761
2077;156
2078;107
2079;543
2080;287
2081;129
2082;0
2083;0
2084;0
2085;0
2086;0
2087;0
2088;0
2089;0
2090;0
2091;0
2092;0
2093;0
2094;0
2095;52
2096;113
2097;275
2098;247
2099;759
2100;814
2101;443
2102;725
2103;589
2104;91
2105;105
2106;0
2107;0
2108;0
2109;0
2110;0
2111;0
2112;0
2113;0
2114;0
2115;0
2116;0
2117;0
2118;0
2119;90
2120;213
2121;443
2122;768
2123;846
2124;686
2125;1010
2126;576
2127;148
2128;424
2129;165
2130;0
2131;0
2132;0
2133;0
2134;0
2135;0
2136;0
2137;0
2138;0
2139;0
2140;0
2141;0
2142;0
2143;150
2144;411
2145;652
2146;834
2147;870
2148;985
2149;864
2150;668
2151;475
2152;464
2153;200
2154;0
2155;0
2156;0
2157;0
2158;0
2159;0
2160;0
2161;0
2162;0
2163;0
2164;0
2165;0
2166;0
2167;83
2168;234
2169;518
2170;744
2171;858
2172;1045
2173;1006
2174;80
2175;143
2176;68
2177;75
2178;0
2179;0
2180;0
2181;0
2182;0
2183;0
2184;0
2185;0
2186;0
2187;0
2188;0
2189;0
2190;0
2191;110
2192;188
2193;209
2194;706
2195;719
2196;665
2197;847
2198;686
2199;650
2200;471
2201;214
2202;0
2203;0
2204;0
2205;0
2206;0
2207;0
2208;0
2209;0
2210;0
2211;0
2212;0
2213;0
2214;0
2215;105
2216;395
2217;641
2218;672
2219;828
2220;1017
2221;962
2222;248
2223;503
2224;361
2225;103
2226;0
2227;0
2228;0
2229;0
2230;0
2231;0
2232;0
2233;0
2234;0
2235;0
2236;0
2237;0
2238;0
2239;30
2240;194
2241;205
2242;400
2243;437
2244;354
2245;560
2246;747
2247;655
2248;467
2249;44
2250;0
2251;0
2252;0
2253;0
2254;0
2255;0
2256;0
2257;0
2258;0
2259;0
2260;0
